trial,task,system,criterion,credit,weight,contribution,receipt
A1-claude-R08,A1,Opus 5,R006,0.0,5,0.0,results/receipts/A1-claude-R08/prior/verifier/judge-result.json
A1-claude-R08,A1,Opus 5,R004,0.3629032258064516,35,0.12701612903225806,results/receipts/A1-claude-R08/prior/verifier/judge-result.json
A1-claude-R08,A1,Opus 5,R005,0.8472222222222222,5,0.04236111111111111,results/receipts/A1-claude-R08/prior/verifier/judge-result.json
A1-claude-R06,A1,Opus 5,R001,1.0,10,0.1,results/receipts/A1-claude-R06/prior/verifier/judge-result.json
A1-claude-R06,A1,Opus 5,R002,1.0,25,0.25,results/receipts/A1-claude-R06/prior/verifier/judge-result.json
A1-claude-R06,A1,Opus 5,R003,0.2535211267605634,20,0.05070422535211268,results/receipts/A1-claude-R06/prior/verifier/judge-result.json
A1-claude-R06,A1,Opus 5,R006,0.0,5,0.0,results/receipts/A1-claude-R06/prior/verifier/judge-result.json
A1-claude-R06,A1,Opus 5,R004,0.45698924731182794,35,0.159946236559139779,results/receipts/A1-claude-R06/prior/verifier/judge-result.json
A1-claude-R06,A1,Opus 5,R005,0.9384920634920635,5,0.046924603174603175,results/receipts/A1-claude-R06/prior/verifier/judge-result.json
A1-claude-R03,A1,Opus 5,R001,1.0,10,0.1,results/receipts/A1-claude-R03/prior/verifier/judge-result.json
A1-claude-R03,A1,Opus 5,R002,0.16666666666666666,25,0.041666666666666665,results/receipts/A1-claude-R03/prior/verifier/judge-result.json
A1-claude-R03,A1,Opus 5,R003,0.2676056338028169,20,0.05352112676056338,results/receipts/A1-claude-R03/prior/verifier/judge-result.json
A1-claude-R03,A1,Opus 5,R006,0.0,5,0.0,results/receipts/A1-claude-R03/prior/verifier/judge-result.json
A1-claude-R03,A1,Opus 5,R004,0.25806451612903225,35,0.0903225806451612875,results/receipts/A1-claude-R03/prior/verifier/judge-result.json
A1-claude-R03,A1,Opus 5,R005,0.7490079365079365,5,0.037450396825396825,results/receipts/A1-claude-R03/prior/verifier/judge-result.json
C2-qwen-R08,C2,Qwen 3.8,R001,0,35,0,results/receipts/C2-qwen-R08/prior/verifier/judge-result.json
C2-qwen-R08,C2,Qwen 3.8,R002,0.04,10,0.004,results/receipts/C2-qwen-R08/prior/verifier/judge-result.json
C2-qwen-R08,C2,Qwen 3.8,R003,0.9795918367346938775510204082,10,0.09795918367346938775510204082,results/receipts/C2-qwen-R08/prior/verifier/judge-result.json
C2-qwen-R08,C2,Qwen 3.8,R004,0.7272727272727272727272727273,35,0.2545454545454545454545454546,results/receipts/C2-qwen-R08/prior/verifier/judge-result.json
C2-qwen-R08,C2,Qwen 3.8,R005,0.9615384615384615384615384615,5,0.04807692307692307692307692308,results/receipts/C2-qwen-R08/prior/verifier/judge-result.json
C2-qwen-R08,C2,Qwen 3.8,R006,1,5,0.05,results/receipts/C2-qwen-R08/prior/verifier/judge-result.json
C2-qwen-R03,C2,Qwen 3.8,R001,1,35,0.35,results/receipts/C2-qwen-R03/prior/verifier/judge-result.json
C2-qwen-R03,C2,Qwen 3.8,R002,1,10,0.1,results/receipts/C2-qwen-R03/prior/verifier/judge-result.json
C2-qwen-R03,C2,Qwen 3.8,R003,0,10,0,results/receipts/C2-qwen-R03/prior/verifier/judge-result.json
C2-qwen-R03,C2,Qwen 3.8,R004,0,35,0,results/receipts/C2-qwen-R03/prior/verifier/judge-result.json
C2-qwen-R03,C2,Qwen 3.8,R005,0.03846153846153846153846153846,5,0.001923076923076923076923076923,results/receipts/C2-qwen-R03/prior/verifier/judge-result.json
C2-qwen-R03,C2,Qwen 3.8,R006,0.9615384615384615384615384615,5,0.04807692307692307692307692308,results/receipts/C2-qwen-R03/prior/verifier/judge-result.json
B2-codex-R04,B2,GPT-5.6 sol,R001,0.8571428571428571,15,0.128571428571428565,results/receipts/B2-codex-R04/prior/verifier/judge-result.json
B2-codex-R04,B2,GPT-5.6 sol,R002,1.0,25,0.25,results/receipts/B2-codex-R04/prior/verifier/judge-result.json
B2-codex-R04,B2,GPT-5.6 sol,R003,1.0,25,0.25,results/receipts/B2-codex-R04/prior/verifier/judge-result.json
B2-codex-R04,B2,GPT-5.6 sol,R004,0.7111111111111111,20,0.14222222222222222,results/receipts/B2-codex-R04/prior/verifier/judge-result.json
B2-codex-R04,B2,GPT-5.6 sol,R005,1.0,15,0.15,results/receipts/B2-codex-R04/prior/verifier/judge-result.json
B2-codex-R03,B2,GPT-5.6 sol,R001,0.8571428571428571,15,0.128571428571428565,results/receipts/B2-codex-R03/prior/verifier/judge-result.json
B2-codex-R03,B2,GPT-5.6 sol,R002,1.0,25,0.25,results/receipts/B2-codex-R03/prior/verifier/judge-result.json
B2-codex-R03,B2,GPT-5.6 sol,R003,1.0,25,0.25,results/receipts/B2-codex-R03/prior/verifier/judge-result.json
B2-codex-R03,B2,GPT-5.6 sol,R004,0.8,20,0.16,results/receipts/B2-codex-R03/prior/verifier/judge-result.json
B2-codex-R03,B2,GPT-5.6 sol,R005,1.0,15,0.15,results/receipts/B2-codex-R03/prior/verifier/judge-result.json
B2-codex-R02,B2,GPT-5.6 sol,R001,0.8571428571428571,15,0.128571428571428565,results/receipts/B2-codex-R02/prior/verifier/judge-result.json
B2-codex-R02,B2,GPT-5.6 sol,R002,1.0,25,0.25,results/receipts/B2-codex-R02/prior/verifier/judge-result.json
B2-codex-R02,B2,GPT-5.6 sol,R003,1.0,25,0.25,results/receipts/B2-codex-R02/prior/verifier/judge-result.json
B2-codex-R02,B2,GPT-5.6 sol,R004,0.888888888888889,20,0.1777777777777778,results/receipts/B2-codex-R02/prior/verifier/judge-result.json
B2-codex-R02,B2,GPT-5.6 sol,R005,0.6,15,0.09,results/receipts/B2-codex-R02/prior/verifier/judge-result.json
B2-claude-R05,B2,Opus 5,R001,0.8571428571428571,15,0.128571428571428565,results/receipts/B2-claude-R05/prior/verifier/judge-result.json
B2-claude-R05,B2,Opus 5,R002,0.1,25,0.025,results/receipts/B2-claude-R05/prior/verifier/judge-result.json
B2-claude-R05,B2,Opus 5,R003,0.7030303030303031,25,0.175757575757575775,results/receipts/B2-claude-R05/prior/verifier/judge-result.json
B2-claude-R05,B2,Opus 5,R004,0.09000000000000001,20,0.018000000000000002,results/receipts/B2-claude-R05/prior/verifier/judge-result.json
B2-claude-R05,B2,Opus 5,R005,0.8666666666666667,15,0.130000000000000005,results/receipts/B2-claude-R05/prior/verifier/judge-result.json
B2-claude-R03,B2,Opus 5,R001,0.8571428571428571,15,0.128571428571428565,results/receipts/B2-claude-R03/prior/verifier/judge-result.json
B2-claude-R03,B2,Opus 5,R002,0.7,25,0.175,results/receipts/B2-claude-R03/prior/verifier/judge-result.json
B2-claude-R03,B2,Opus 5,R003,0.6787878787878788,25,0.1696969696969697,results/receipts/B2-claude-R03/prior/verifier/judge-result.json
B2-claude-R03,B2,Opus 5,R004,0.17777777777777778,20,0.035555555555555556,results/receipts/B2-claude-R03/prior/verifier/judge-result.json
B2-claude-R03,B2,Opus 5,R005,0.8666666666666667,15,0.130000000000000005,results/receipts/B2-claude-R03/prior/verifier/judge-result.json
C1-claude-R08,C1,Opus 5,R001,0.5231788079470198675496688741721854304636,15,0.07847682119205298013245033113,results/receipts/C1-claude-R08/prior/verifier/judge-result.json
C1-claude-R08,C1,Opus 5,R002,1,20,0.2,results/receipts/C1-claude-R08/prior/verifier/judge-result.json
C1-claude-R08,C1,Opus 5,R003,0.6666666666666666666666666666666666666667,15,0.10000000000000000000000000,results/receipts/C1-claude-R08/prior/verifier/judge-result.json
C1-claude-R08,C1,Opus 5,R004,0.3333333333333333333333333333333333333333,10,0.03333333333333333333333333333,results/receipts/C1-claude-R08/prior/verifier/judge-result.json
C1-claude-R08,C1,Opus 5,R005,0,35,0,results/receipts/C1-claude-R08/prior/verifier/judge-result.json
C1-claude-R08,C1,Opus 5,R006,0.4729729729729729729729729729729729729730,5,0.02364864864864864864864864865,results/receipts/C1-claude-R08/prior/verifier/judge-result.json
C1-claude-R03,C1,Opus 5,R001,0.4503311258278145695364238410596026490066,15,0.06754966887417218543046357616,results/receipts/C1-claude-R03/prior/verifier/judge-result.json
C1-claude-R03,C1,Opus 5,R002,1,20,0.2,results/receipts/C1-claude-R03/prior/verifier/judge-result.json
C1-claude-R03,C1,Opus 5,R003,0.6296296296296296296296296296296296296296,15,0.09444444444444444444444444444,results/receipts/C1-claude-R03/prior/verifier/judge-result.json
C1-claude-R03,C1,Opus 5,R004,0.3333333333333333333333333333333333333333,10,0.03333333333333333333333333333,results/receipts/C1-claude-R03/prior/verifier/judge-result.json
C1-claude-R03,C1,Opus 5,R005,0,35,0,results/receipts/C1-claude-R03/prior/verifier/judge-result.json
C1-claude-R03,C1,Opus 5,R006,0.4864864864864864864864864864864864864865,5,0.02432432432432432432432432432,results/receipts/C1-claude-R03/prior/verifier/judge-result.json
